MPG,Cylinders,Displacement,Year,Origin,compression-ratio
16.0,6,250,1975,US,22.5
15.0,6,258,1975,US,9
18.0,6,225,1975,US,9
21.0,6,231,1975,US,9
20.0,8,262,1975,US,9
13.0,8,302,1975,US,9
29.0,4,97,1975,Japan,9.4
23.0,4,140,1975,US,9.4
20.0,6,232,1975,US,9.3
23.0,4,140,1975,US,9.3
24.0,4,134,1975,Japan,9.3
25.0,4,90,1975,Europe,9.3
24.0,4,119,1975,Japan,9.3
18.0,6,171,1975,US,9.3
29.0,4,90,1975,Europe,8.7
19.0,6,232,1975,US,22.5
23.0,4,115,1975,Europe,8.7
23.0,4,120,1975,Europe,8.7
22.0,4,121,1975,Europe,8.7
25.0,4,121,1975,Europe,9.3
33.0,4,91,1975,Japan,9.3
28.0,4,107,1976,Europe,9.2
25.0,4,116,1976,Europe,9.2
25.0,4,140,1976,US,23
26.0,4,98,1976,US,9
27.0,4,101,1976,Europe,23
17.5,8,305,1976,US,9
16.0,8,318,1976,US,9
15.5,8,304,1976,US,23
14.5,8,351,1976,US,10
22.0,6,225,1976,US,8.5
22.0,6,250,1976,US,8.5
24.0,6,200,1976,US,8.5
22.5,6,232,1976,US,23
29.0,4,85,1976,US,9
24.5,4,98,1976,US,9.5
29.0,4,90,1976,Europe,9.5
33.0,4,91,1976,Japan,9.5
20.0,6,225,1976,US,9.5
18.0,6,250,1976,US,7.5
18.5,6,250,1976,US,7.5
17.5,6,258,1976,US,9.5
29.5,4,97,1976,Europe,8.7
32.0,4,85,1976,Japan,8.8
28.0,4,97,1976,Japan,23
26.5,4,140,1976,US,9.5
20.0,4,130,1976,Europe,8.7
13.0,8,318,1976,US,9.3
19.0,4,120,1976,Europe,9.3
19.0,6,156,1976,Japan,9.2
16.5,6,168,1976,Europe,9.2
16.5,8,350,1976,US,23
13.0,8,350,1976,US,9
13.0,8,302,1976,US,23
13.0,8,318,1976,US,9
31.5,4,98,1977,Japan,9
30.0,4,111,1977,US,23
36.0,4,79,1977,Europe,10
25.5,4,122,1977,US,8.5
33.5,4,85,1977,Japan,8.5
17.5,8,305,1977,US,8.5
17.0,8,260,1977,US,23
15.5,8,318,1977,US,9
15.0,8,302,1977,US,9.5
17.5,6,250,1977,US,9.5
20.5,6,231,1977,US,9.5
19.0,6,225,1977,US,9.5
18.5,6,250,1977,US,7.5
16.0,8,400,1977,US,7.5
15.5,8,350,1977,US,9.5
15.5,8,400,1977,US,8.7
16.0,8,351,1977,US,8.8
29.0,4,97,1977,Europe,23
24.5,4,151,1977,US,8.7
26.0,4,97,1977,Japan,9.3
25.5,4,140,1977,US,9.3
30.5,4,98,1977,US,9.2
33.5,4,98,1977,US,9.2
30.0,4,97,1977,Japan,23
30.5,4,97,1977,Europe,9
22.0,6,146,1977,Japan,23
21.5,4,121,1977,Europe,9
21.5,3,80,1977,Japan,9
43.1,4,90,1978,Europe,23
36.1,4,98,1978,US,10
32.8,4,78,1978,Japan,8.5
39.4,4,85,1978,Japan,8.5
36.1,4,91,1978,Japan,8.5
19.9,8,260,1978,US,23
19.4,8,318,1978,US,9
20.2,8,302,1978,US,9.5
19.2,6,231,1978,US,9.5
20.5,6,200,1978,US,9.5
20.2,6,200,1978,US,9.5
25.1,4,140,1978,US,7.5
20.5,6,225,1978,US,7.5
19.4,6,232,1978,US,9.5
20.6,6,231,1978,US,8.7
20.8,6,200,1978,US,8.8
18.6,6,225,1978,US,23
18.1,6,258,1978,US,8.7
19.2,8,305,1978,US,9.3
17.7,6,231,1978,US,9.3
18.1,8,302,1978,US,9.2
17.5,8,318,1978,US,9.2
30.0,4,98,1978,US,23
27.5,4,134,1978,Japan,9
27.2,4,119,1978,Japan,23
30.9,4,105,1978,US,9
21.1,4,134,1978,Japan,9
23.2,4,156,1978,US,23
23.8,4,151,1978,US,10
23.9,4,119,1978,Japan,8.5
20.3,5,131,1978,Europe Germany,8.5
17.0,6,163,1978,Europe-Germany,8.5
21.6,4,121,1978,Europe,23
16.2,6,163,1978,Europe,9
31.5,4,89,1978,Europe-Germany,9.5
29.5,4,98,1978,Japan,9.5
21.5,6,231,1979,US,9.5
19.8,6,200,1979,US,9.5
22.3,4,140,1979,US,7.5
20.2,6,232,1979,US,7.5
20.6,6,225,1979,US,9.5
17.0,8,305,1979,US,8.7
17.6,8,302,1979,US,8.8
16.5,8,351,1979,US,23
18.2,8,318,1979,US,8.7
16.9,8,350,1979,US,9.3
15.5,8,351,1979,US,9.3
19.2,8,267,1979,US,9.2
18.5,8,360,1979,US,9.2
31.9,4,89,1979,Europe,23
34.1,4,86,1979,Japan,9
35.7,4,98,1979,US,23
27.4,4,121,1979,US,3.39
25.4,5,183,1979,Europe,9
23.0,8,350,1979,US,9
27.2,4,141,1979,Europe,9
23.9,8,260,1979,US,10
34.2,4,105,1979,US,8
34.5,4,105,1979,US,8.5
31.8,4,85,1979,Japan,8.5
37.3,4,91,1979,Europe,8.5
28.4,4,151,1979,US,8.3
28.8,6,173,1979,US,7
26.8,6,173,1979,US,8.8
33.5,4,151,1979,US,8.8
41.5,4,98,1980,Europe,9
38.1,4,89,1980,Japan,9
32.1,4,98,1980,US,9
37.2,4,86,1980,Japan,8
28.0,4,151,1980,US,8
26.4,4,140,1980,US,8
24.3,4,151,1980,US,9.5
19.1,6,225,1980,US,9.6
34.3,4,97,1980,Europe,9.6
29.8,4,134,1980,Japan,9.41
31.3,4,120,1980,Japan,9.4
37.0,4,119,1980,Japan,7.6
32.2,4,108,1980,Japan,9.4
46.6,4,86,1980,Japan,9.4
27.9,4,156,1980,US,9.4
40.8,4,85,1980,Japan,7.6
44.3,4,90,1980,Europe,8.5
43.4,4,90,1980,Europe,7
36.4,5,121,1980,Europe-Germany,9.6
30.0,4,146,1980,Europe-Germany,9.2
44.6,4,91,1980,Japan,10.1
33.8,4,97,1980,Japan,9.2
29.8,4,89,1980,Europe,9.2
32.7,6,168,1980,Japan,9.2
23.7,3,70,1980,Japan,9.2
35.0,4,122,1980,Europe,9
32.4,4,107,1980,Japan,9
27.2,4,135,1980,US,9
26.6,4,151,1980,US,9
25.8,4,156,1981,US,9
23.5,6,173,1981,US,9.1
30.0,4,135,1981,US,8.5
39.1,4,79,1981,Japan,9.6
39.0,4,86,1981,US,9.6
35.1,4,81,1981,Japan,9.2
32.3,4,97,1981,Japan,8.1
37.0,4,85,1981,Japan,8.1
37.7,4,89,1981,Japan,11.5
34.1,4,91,1981,Japan,9
34.7,4,105,1981,US,9
34.4,4,98,1981,US,9
29.9,4,98,1981,US,9
33.0,4,105,1981,Europe,9
34.5,4,100,1981,Europe,9.4
33.7,4,107,1981,Japan,9.4
32.4,4,108,1981,Japan,9.4
32.9,4,119,1981,Japan,9.4
31.6,4,120,1981,Japan,8.6
28.1,4,141,1981,Europe,8.6
30.7,6,145,1981,Europe,8.6
25.4,6,168,1981,Japan,8.6
24.2,6,146,1981,Japan,22.7
22.4,6,231,1981,US,8.6
26.6,8,350,1981,US,8
20.2,6,200,1981,US,22
17.6,6,225,1981,US,21.5
28.0,4,112,1982,US,21.5
27.0,4,112,1982,US,21.5
34.0,4,112,1982-1985,US,21.5
31.0,4,112,1982,US,8.3
29.0,4,135,1982,US,8.3
27.0,4,151,1982,US,8
24.0,4,140,1982,US,8
23.0,4,151,1982,US,8
36.0,4,105,1982,Europe,9.4
37.0,4,91,1982,Japan,9.4
31.0,4,91,1982,Japan,9.4
38.0,4,105,1982-1985,US,7.6
36.0,4,98,1982,US,7.5
36.0,4,120,1982,Japan,8.5
36.0,4,107,1982,Japan,7
34.0,4,108,1982,Japan,7
38.0,4,91,1982,Japan,7
32.0,4,91,1982-1985,Japan,8.5
38.0,4,91,1982,Japan,8.5
25.0,6,181,1982,US,7.5
38.0,6,262,1982-1985,US,7.5
26.0,4,156,1982,US,9.4
22.0,6,232,1982,US,21.9
32.0,4,144,1982,Japan,9.4
36.0,4,135,1982-1985,US,9.4
27.0,4,151,1982,US,9.4
27.0,4,140,1982-1985,US,9.4
44.0,4,97,1982,Europe,9.4
32.0,4,135,1982-1985,US,9.4
28.0,4,120,1982,US,9.4
31.0,4,119,1982,US,9.4
