Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,bore,stroke,compression-ratio
toyota carina,20,4,97,88,2279,19,1973,Japan; Aichi,3.46,3.19,8.4
chevrolet vega,21,4,140,72,2401,19.5,"1973, 1974",US,3.7,3.52,21
datsun 610,22,4,108,94,2379,16.5,1973,Japan,3.46,3.19,8.4
maxda rx3,18,3,70,90,2124,13.5,1973,Japan,3.7,3.52,21
ford pinto,19,4,122,85,2310,18.5,1973,US,3.46,2.19,?
mercury capri v6,21,6,155,107,2472,14,"1973, 1974",US,3.7,3.52,21
fiat 124 sport coupe,26,4,98,90,2265,15.5,1973,Europe,3.46,2.19,8.4
chevrolet monte carlo s,15,8,350,145,4082,13,1973,US,3.7,3.52,21
pontiac grand prix,16,8,400,230,4278,9.5,"1973, 1974",US,3.46,3.19,8.4
fiat 128,29,4,68,49,1867,19.5,1973,Europe,3.7,3.52,21
opel manta,24,4,116,75,2158,15.5,1973,Europe,3.61,3.21,7
audi 100ls,20,4,114,91,2582,14,1973,Europe,2.97,3.23,9.4
volvo 144ea,19,4,121,112,2868,15.5,1973,Europe,3.03,3.39,7.6
dodge dart custom,15,8,318,150,3399,11,1973,US,2.97,3.23,9.4
saab 99le,24,4,121,110,2660,14,1973,Europe,2.97,3.23,9.4
toyota mark ii,20,6,156,122,2807,13.5,1973,Japan,2.97,3.23,9.4
oldsmobile omega,11,8,350,180,3664,11,1973,US,3.35,3.46,8.5
plymouth duster,20,6,198,95,3102,16.5,1974,US,3.59,3.86,7
amc hornet,19,6,232,100,2901,16,1974,US,3.94,3.11,9.5
chevrolet nova,15,6,250,100,3336,17,"1974, 1975",US,3.74,2.9,9.5
datsun b210,31,4,79,67,1950,19,1974,Japan,3.74,2.9,9.5
ford pinto,26,4,122,80,2451,16.5,1974,US,3.74,2.9,9.5
toyota corolla 1200,32,4,71,65,1836,21,1974,Japan,3.94,3.11,10
chevrolet vega,25,4,140,75,2542,17,1974,US,3.46,3.9,8.7
chevrolet chevelle malibu classic,16,6,250,100,3781,17,"1974, 1975",US,3.46,3.9,8.7
amc matador,16,6,258,110,3632,18,1974,US,3.54,3.07,9.31
plymouth satellite sebring,18,6,225,105,3613,16.5,1974,US,3.54,3.07,9.3
ford gran torino,16,8,302,140,4141,14,"1974, 1975",US,2.54,2.07,9.3
buick century luxus (sw),13,8,350,150,4699,14.5,1974,US,3.54,3.07,9.3
dodge coronet custom (sw),14,8,318,150,4457,13.5,1974,US,3.54,3.07,9
ford gran torino (sw),14,8,302,140,4638,16,"1974, 1975",US,3.54,3.07,9
amc matador (sw),14,8,304,150,4257,15.5,1974,US,3.62,2.36,9
audi fox,29,4,98,83,2219,16.5,"1974, 19751974",Europe,3.62,2.64,8.7
volkswagen dasher,26,4,79,67,1963,15.5,1974,Europe,3.62,2.64,8.7
opel manta,26,4,97,78,2300,14.5,1974,Europe,3.62,2.64,9.5
toyota corona,31,4,76,52,1649,16.5,"1974, 1975",Japan,3.62,2.64,9.5
datsun 710,32,4,83,61,2003,19,1974,Japan,3.62,2.64,9
dodge colt,28,4,90,75,2125,14.5,1974,US,3.62,2.64,9
fiat 128,24,4,90,75,2108,15.5,1974,Europe,3.62,2.64,7.7
fiat 124 tc,26,4,116,75,2246,14,1974,Europe,3.62,2.64,9
honda civic,24,4,120,97,2489,15,1974,Japan,3.62,2.64,9
subaru,26,4,108,93,2391,15.5,1974,Japan,3.62,2.64,9
fiat x1.9,31,4,79,67,2000,16,1974,Europe,3.62,2.64,7.7
plymouth valiant custom,19,6,225,95,3264,16,1975,US,3.05,3.03,9
chevrolet nova,18,6,250,105,3459,16,1975,US,3.05,3.03,9
mercury monarch,15,6,250,72,3432,21,1975,US,3.05,3.03,9
ford maverick,15,6,250,72,3158,19.5,1975,US,3.05,3.03,9
pontiac catalina,16,8,400,170,4668,11.5,1975,US,3.05,3.03,9
chevrolet bel air,15,8,350,145,4440,14,1975,US,3.05,3.03,9
plymouth grand fury,16,8,318,150,4498,14.5,1975,US,3.19,3.03,9
ford ltd,14,8,351,148,4657,13.5,1975,US,3.19,3.03,9
buick century,17,6,231,110,3907,21,1975,US,3.27,3.35,22.5
chevroelt chevelle malibu,16,6,250,105,3897,18.5,1975,US,3.27,3.35,22.5
amc matador,15,6,258,110,3730,19,1975,US,3.19,3.03,9
plymouth fury,18,6,225,95,3785,19,1975,US,3.19,3.03,9
buick skyhawk,21,6,231,110,3039,15,1975,US,3.19,3.03,9
chevrolet monza 2+2,20,8,262,110,3221,13.5,1975,US,3.19,3.03,9
ford mustang ii,13,8,302,129,3169,12,1975,US,3.19,3.03,9
toyota corolla,29,4,97,75,2171,16,1975,Japan,3.24,3.08,9.4
ford pinto,23,4,140,83,2639,17,1975,US,3.24,3.08,9.4
amc gremlin,20,6,232,100,2914,16,1975,US,3.62,3.5,9.3
pontiac astro,23,4,140,78,2592,18.5,1975,US,3.62,3.5,9.3
toyota corona,24,4,134,96,2702,13.5,1975,Japan,3.62,3.5,9.3
volkswagen dasher,25,4,90,71,2223,16.5,1975,Europe,3.62,3.5,9.3
datsun 710,24,4,119,97,2545,17,1975,Japan,3.62,3.5,9.3
ford pinto,18,6,171,97,2984,14.5,1975,US,3.62,3.5,9.3
volkswagen rabbit,29,4,90,70,1937,14,1975,Europe,3.31,3.54,8.7
amc pacer,19,6,232,90,3211,17,1975,US,3.27,3.35,22.5
audi 100ls,23,4,115,95,2694,15,1975,Europe,3.31,3.54,8.7
peugeot 504,23,4,120,88,2957,17,1975,Europe,3.31,3.54,8.7
volvo 244dl,22,4,121,98,2945,14.5,1975,Europe,3.31,3.54,8.7
saab 99le,25,4,121,115,2671,13.5,1975,Europe,3.27,3.35,9.3
honda civic cvcc,33,4,91,53,1795,17.5,1975,Japan,3.27,3.35,9.3
fiat 131,28,4,107,86,2464,15.5,1976,Europe,3.27,3.35,9.2
opel 1900,25,4,116,81,2220,16.9,1976,Europe,3.27,3.35,9.2
capri ii,25,4,140,92,2572,14.9,1976,US,3.01,3.4,23
dodge colt,26,4,98,79,2255,17.7,1976,US,3.19,3.4,9
renault 12tl,27,4,101,83,2202,15.3,1976,Europe,3.01,3.4,23
chevrolet chevelle malibu classic,17.5,8,305,140,4215,13,1976,US,3.19,3.4,9
dodge coronet brougham,16,8,318,150,4190,13,1976,US,3.19,3.4,9
amc matador,15.5,8,304,120,3962,13.9,1976,US,3.01,3.4,23
ford gran torino,14.5,8,351,152,4215,12.8,1976,US,3.19,3.4,10
plymouth valiant,22,6,225,100,3233,15.4,1976,US,3.19,3.4,8.5
chevrolet nova,22,6,250,105,3353,14.5,1976,US,3.19,3.4,8.5
ford maverick,24,6,200,81,3012,17.6,1976,US,3.19,3.4,8.5
amc hornet,22.5,6,232,90,3085,17.6,1976,US,3.01,3.4,23
chevrolet chevette,29,4,85,52,2035,22.2,1976,US,3.19,3.4,9
chevrolet woody,24.5,4,98,60,2164,22.1,1976,US,3.78,3.15,9.5
vw rabbit,29,4,90,70,1937,14.2,1976,Europe,3.78,3.15,9.5
honda civic,33,4,91,53,1795,17.4,1976,Japan,3.78,3.15,9.5
dodge aspen se,20,6,225,100,3651,17.7,1976,US,3.78,3.15,9.5
ford granada ghia,18,6,250,78,3574,21,1976,US,3.62,3.15,7.5
pontiac ventura sj,18.5,6,250,110,3645,16.2,1976,US,3.62,3.15,7.5
amc pacer d/l,17.5,6,258,95,3193,17.8,1976,US,3.78,3.15,9.5
volkswagen rabbit,29.5,4,97,71,1825,12.2,1976,Europe,3.78,3.15,8.7
datsun b-210,32,4,85,70,1990,17,1976,Japan,3.58,2.87,8.8
toyota corolla,28,4,97,75,2155,16.4,1976,Japan,3.01,3.4,23
ford pinto,26.5,4,140,72,2565,13.6,1976,US,3.78,3.15,9.5
volvo 245,20,4,130,102,3150,15.7,1976,Europe,3.31,3.54,8.7
plymouth volare premier v8,13,8,318,150,3940,13.2,1976,US,3.27,3.35,9.3
peugeot 504,19,4,120,88,3270,21.9,1976,Europe,3.27,3.35,9.3
toyota mark ii,19,6,156,108,2930,15.5,1976,Japan,3.27,3.35,9.2
mercedes-benz 280s,16.5,6,168,120,3820,16.7,1976,Europe,3.27,3.35,9.2
cadillac seville,16.5,8,350,180,4380,12.1,1976,US,3.01,3.4,23
chevy c10,13,8,350,145,4055,12,1976,US,3.19,3.4,9
ford f108,13,8,302,130,3870,15,1976,US,3.01,3.4,23
dodge d100,13,8,318,150,3755,14,1976,US,3.19,3.4,9
honda accord cvcc,31.5,4,98,68,2045,18.5,1977,Japan,3.19,3.4,9
buick opel isuzu deluxe,30,4,111,80,2155,14.8,1977,US,3.01,3.4,23
renault 5 gtl,36,4,79,58,1825,18.6,1977,Europe,3.19,3.4,10
plymouth arrow gs,25.5,4,122,96,2300,15.5,1977,US,3.19,3.4,8.5
datsun f-10 hatchback,33.5,4,85,70,1945,16.8,1977,Japan,3.19,3.4,8.5
chevrolet caprice classic,17.5,8,305,145,3880,12.5,1977,US,3.19,3.4,8.5
oldsmobile cutlass supreme,17,8,260,110,4060,19,1977,US,3.01,3.4,23
dodge monaco brougham,15.5,8,318,145,4140,13.7,1977,US,3.19,3.4,9
mercury cougar brougham,15,8,302,130,4295,14.9,1977,US,3.78,3.15,9.5
chevrolet concours,17.5,6,250,110,3520,16.4,1977,US,3.78,3.15,9.5
buick skylark,20.5,6,231,105,3425,16.9,1977,US,3.78,3.15,9.5
plymouth volare custom,19,6,225,100,3630,17.7,1977,US,3.78,3.15,9.5
ford granada,18.5,6,250,98,3525,19,1977,US,3.62,3.15,7.5
pontiac grand prix lj,16,8,400,180,4220,11.1,1977,US,3.62,3.15,7.5
chevrolet monte carlo landau,15.5,8,350,170,4165,11.4,1977,US,3.78,3.15,9.5
chrysler cordoba,15.5,8,400,190,4325,12.2,1977,US,3.78,3.15,8.7
ford thunderbird,16,8,351,149,4335,14.5,1977,US,3.58,2.87,8.8
volkswagen rabbit custom,29,4,97,78,1940,14.5,1977,Europe,3.01,3.4,23
pontiac sunbird coupe,24.5,4,151,88,2740,16,1977,US,3.31,3.54,8.7
toyota corolla liftback,26,4,97,75,2265,18.2,1977,Japan,3.27,3.35,9.3
ford mustang ii 2+2,25.5,4,140,89,2755,15.8,1977,US,3.27,3.35,9.3
chevrolet chevette,30.5,4,98,63,2051,17,1977,US,3.27,3.35,9.2
dodge colt m/m,33.5,4,98,83,2075,15.9,1977,US,3.27,3.35,9.2
subaru dl,30,4,97,67,1985,16.4,1977,Japan,3.01,3.4,23
volkswagen dasher,30.5,4,97,78,2190,14.1,1977,Europe,3.19,3.4,9
datsun 810,22,6,146,97,2815,14.5,1977,Japan,3.01,3.4,23
bmw 320i,21.5,4,121,110,2600,12.8,1977,Europe,3.19,3.4,9
mazda rx-4,21.5,3,80,110,2720,13.5,1977,Japan,3.19,3.4,9
volkswagen rabbit custom diesel,43.1,4,90,48,1985,21.5,1978,Europe,3.01,3.4,23
ford fiesta,36.1,4,98,66,1800,14.4,1978,US,3.19,3.4,10
mazda glc deluxe,32.8,4,78,52,1985,19.4,1978,Japan,3.19,3.4,8.5
datsun b210 gx,39.4,4,85,70,2070,18.6,1978,Japan,3.19,3.4,8.5
honda civic cvcc,36.1,4,91,60,1800,16.4,1978,Japan,3.19,3.4,8.5
oldsmobile cutlass salon brougham,19.9,8,260,110,3365,15.5,1978,US,3.01,3.4,23
dodge diplomat,19.4,8,318,140,3735,13.2,1978,US,3.19,3.4,9
mercury monarch ghia,20.2,8,302,139,3570,12.8,1978,US,3.78,3.15,9.5
pontiac phoenix lj,19.2,6,231,105,3535,19.2,1978,US,3.78,3.15,9.5
chevrolet malibu,20.5,6,200,95,3155,18.2,1978,US,3.78,3.15,9.5
ford fairmont (auto),20.2,6,200,85,2965,15.8,1978,US,3.78,3.15,9.5
ford fairmont (man),25.1,4,140,88,2720,15.4,1978,US,3.62,3.15,7.5
plymouth volare,20.5,6,225,100,3430,17.2,1978,US,3.62,3.15,7.5
amc concord,19.4,6,232,90,3210,17.2,1978,US,3.78,3.15,9.5
buick century special,20.6,6,231,105,3380,15.8,1978,US,3.78,3.15,8.7
mercury zephyr,20.8,6,200,85,3070,16.7,1978,US,3.58,2.87,8.8
dodge aspen,18.6,6,225,110,3620,18.7,1978,US,3.01,3.4,23
amc concord d/l,18.1,6,258,120,3410,15.1,1978,US,3.31,3.54,8.7
chevrolet monte carlo landau,19.2,8,305,145,3425,13.2,1978,US,3.27,3.35,9.3
buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,1978,US,3.27,3.35,9.3
ford futura,18.1,8,302,139,3205,11.2,1978,US,3.27,3.35,9.2
dodge magnum xe,17.5,8,318,140,4080,13.7,1978,US,3.27,3.35,9.2
chevrolet chevette,30,4,98,68,2155,16.5,1978,US,3.01,3.4,23
toyota corona,27.5,4,134,95,2560,14.2,1978,Japan,3.19,3.4,9
datsun 510,27.2,4,119,97,2300,14.7,1978,Japan,3.01,3.4,23
dodge omni,30.9,4,105,75,2230,14.5,1978,US,3.19,3.4,9
toyota celica gt liftback,21.1,4,134,95,2515,14.8,1978,Japan,3.19,3.4,9
plymouth sapporo,23.2,4,156,105,2745,16.7,1978,US,3.01,3.4,23
oldsmobile starfire sx,23.8,4,151,85,2855,17.6,1978,US,3.19,3.4,10
datsun 200-sx,23.9,4,119,97,2405,14.9,1978,Japan,3.19,3.4,8.5
audi 5000,20.3,5,131,103,2830,15.9,1978,Europe Germany,3.19,3.4,8.5
volvo 264gl,17,6,163,125,3140,13.6,1978,Europe-Germany,3.19,3.4,8.5
saab 99gle,21.6,4,121,115,2795,15.7,1978,Europe,3.01,3.4,23
peugeot 604sl,16.2,6,163,133,3410,15.8,1978,Europe,3.19,3.4,9
volkswagen scirocco,31.5,4,89,71,1990,14.9,1978,Europe-Germany,3.78,3.15,9.5
honda accord lx,29.5,4,98,68,2135,16.6,1978,Japan,3.78,3.15,9.5
pontiac lemans v6,21.5,6,231,115,3245,15.4,1979,US,3.78,3.15,9.5
mercury zephyr 6,19.8,6,200,85,2990,18.2,1979,US,3.78,3.15,9.5
ford fairmont 4,22.3,4,140,88,2890,17.3,1979,US,3.62,3.15,7.5
amc concord dl 6,20.2,6,232,90,3265,18.2,1979,US,3.62,3.15,7.5
dodge aspen 6,20.6,6,225,110,3360,16.6,1979,US,3.78,3.15,9.5
chevrolet caprice classic,17,8,305,130,3840,15.4,1979,US,3.78,3.15,8.7
ford ltd landau,17.6,8,302,129,3725,13.4,1979,US,3.58,2.87,8.8
mercury grand marquis,16.5,8,351,138,3955,13.2,1979,US,3.01,3.4,23
dodge st. regis,18.2,8,318,135,3830,15.2,1979,US,3.31,3.54,8.7
buick estate wagon (sw),16.9,8,350,155,4360,14.9,1979,US,3.27,3.35,9.3
ford country squire (sw),15.5,8,351,142,4054,14.3,1979,US,3.27,3.35,9.3
chevrolet malibu classic (sw),19.2,8,267,125,3605,15,1979,US,3.27,3.35,9.2
chrysler lebaron town @ country (sw),18.5,8,360,150,3940,13,1979,US,3.27,3.35,9.2
vw rabbit custom,31.9,4,89,71,1925,14,1979,Europe,3.01,3.4,23
maxda glc deluxe,34.1,4,86,65,1975,15.2,1979,Japan,3.19,3.4,9
dodge colt hatchback custom,35.7,4,98,80,1915,14.4,1979,US,3.01,3.4,23
amc spirit dl,27.4,4,121,80,2670,15,1979,US,3.01,3.4,3.39
mercedes benz 300d,25.4,5,183,77,3530,20.1,1979,Europe,3.47,2.68,9
cadillac eldorado,23,8,350,125,3900,17.4,1979,US,3.47,2.68,9
peugeot 504,27.2,4,141,71,3190,24.8,1979,Europe,2.68,3.47,9
oldsmobile cutlass salon brougham,23.9,8,260,90,3420,22.2,1979,US,3.19,3.4,10
plymouth horizon,34.2,4,105,70,2200,13.2,1979,US,3.19,3.4,8
plymouth horizon tc3,34.5,4,105,70,2150,14.9,1979,US,3.19,3.4,8.5
datsun 210,31.8,4,85,65,2020,19.2,1979,Japan,3.19,3.4,8.5
fiat strada custom,37.3,4,91,69,2130,14.7,1979,Europe,3.19,3.4,8.5
buick skylark limited,28.4,4,151,90,2670,16,1979,US,3.13,3.4,8.3
chevrolet citation,28.8,6,173,115,2595,11.3,1979,US,3.13,3.4,7
oldsmobile omega brougham,26.8,6,173,115,2700,12.9,1979,US,3.5,2.8,8.8
pontiac phoenix,33.5,4,151,90,2556,13.2,1979,US,3.5,2.8,8.8
vw rabbit,41.5,4,98,76,2144,14.7,1980,Europe,3.31,3.19,9
toyota corolla tercel,38.1,4,89,60,1968,18.8,1980,Japan,3.31,3.19,9
chevrolet chevette,32.1,4,98,70,2120,15.5,1980,US,3.31,3.19,9
datsun 310,37.2,4,86,65,2019,16.4,1980,Japan,3.62,3.39,8
chevrolet citation,28,4,151,90,2678,16.5,1980,US,3.62,3.39,8
ford fairmont,26.4,4,140,88,2870,18.1,1980,US,3.62,3.39,8
amc concord,24.3,4,151,90,3003,20.1,1980,US,2.91,3.03,9.5
dodge aspen,19.1,6,225,90,3381,18.7,1980,US,3.03,3.11,9.6
audi 4000,34.3,4,97,78,2188,15.8,1980,Europe,3.03,3.11,9.6
toyota corona liftback,29.8,4,134,90,2711,15.5,1980,Japan,2.97,3.23,9.41
mazda 626,31.3,4,120,75,2542,17.5,1980,Japan,2.97,3.23,9.4
datsun 510 hatchback,37,4,119,92,2434,15,1980,Japan,3.03,3.39,7.6
toyota corolla,32.2,4,108,75,2265,15.2,1980,Japan,2.97,3.23,9.4
mazda glc,46.6,4,86,65,2110,17.9,1980,Japan,2.97,3.23,9.4
dodge colt,27.9,4,156,105,2800,14.4,1980,US,2.97,3.23,9.4
datsun 210,40.8,4,85,65,2110,19.2,1980,Japan,3.03,3.39,7.6
vw rabbit c (diesel),44.3,4,90,48,2085,21.7,1980,Europe,3.34,3.46,8.5
vw dasher (diesel),43.4,4,90,48,2335,23.7,1980,Europe,3.6,3.9,7
audi 5000s (diesel),36.4,5,121,67,2950,19.9,1980,Europe-Germany,2.91,3.41,9.6
mercedes-benz 240d,30,4,146,67,3250,21.8,1980,Europe-Germany,2.91,3.41,9.2
honda civic 1500 gl,44.6,4,91,67,1850,13.8,1980,Japan,2.91,3.07,10.1
subaru dl,33.8,4,97,67,2145,18,1980,Japan,2.91,3.41,9.2
vokswagen rabbit,29.8,4,89,62,1845,15.3,1980,Europe,2.91,3.41,9.2
datsun 280-zx,32.7,6,168,132,2910,11.4,1980,Japan,2.91,3.41,9.2
mazda rx-7 gs,23.7,3,70,100,2420,12.5,1980,Japan,2.92,3.41,9.2
triumph tr7 coupe,35,4,122,88,2500,15.1,1980,Europe,3.15,3.58,9
honda accord,32.4,4,107,72,2290,17,1980,Japan,3.15,3.58,9
plymouth reliant,27.2,4,135,84,2490,15.7,1980,US,3.15,3.58,9
buick skylark,26.6,4,151,84,2635,16.4,1980,US,3.15,3.58,9
